tokens,type_token_ratio,avg_sentence_len,stopword_ratio,sections,layers,training_hours,flops_per_hour,energy_kwh
18.0,0.5555555555555556,18.0,0.0,0.0,42,8.183874307038955,1.7313993626969514e+19,0.08672239831366697
15.0,0.6666666666666666,15.0,0.0,0.0,30,3.2711980162740124,3.3643679501501157e+20,0.4883696733017697
39.0,0.3333333333333333,39.0,0.0,0.0,49,6.900728516132547,2.1713354141107192e+20,1.1202760101556084
17.0,0.47058823529411764,17.0,0.0,0.0,26,5.119400617640093,1.254497278915727e+20,0.23639824454689543
35.0,0.4,35.0,0.0,0.0,53,7.212889125905006,7.52493717279437e+19,0.4379709502764785
34.0,0.38235294117647056,34.0,0.0,0.0,4,7.587566079601097,1.5446821888791514e+20,0.07069456344634147
7.0,0.5714285714285714,7.0,0.0,0.0,4,1.089180816051558,2.2501191220181942e+20,0.013538845301125826
16.0,0.6875,16.0,0.0,0.0,53,5.141759154362507,1.430021322901309e+20,0.5826011069375208
11.0,0.9090909090909091,11.0,0.0,0.0,52,4.016467866001829,3.350557581610927e+20,1.0819632775159826
32.0,0.4375,32.0,0.0,0.0,50,3.7559117879854123,3.169120966741416e+20,0.9016476138375876
26.0,0.5,26.0,0.0,0.0,2,4.382787645196338,9.232873545838179e+19,0.012099251507801542
12.0,0.6666666666666666,12.0,0.0,0.0,45,9.440116559019849,4.0510626636750664e+20,2.5067961196972353
5.0,0.8,5.0,0.0,0.0,37,9.662635330317464,3.77411969032167e+20,1.966624956255755
29.0,0.3793103448275862,29.0,0.0,0.0,33,7.392249044283842,4.553845230540754e+20,1.6321379042386621
11.0,0.7272727272727273,11.0,0.0,0.0,36,4.103272453813458,3.070926884616483e+20,0.6683834336875079
31.0,0.3870967741935484,31.0,0.0,0.0,20,1.3330178394169647,6.017728269915598e+19,0.02386208627348382
30.0,0.4,30.0,0.0,0.0,23,3.0580686587239425,3.116404414937524e+20,0.3255032524475289
18.0,0.6666666666666666,18.0,0.0,0.0,9,6.599293432193164,1.6839467095732758e+20,0.15019028209568758
18.0,0.6111111111111112,18.0,0.0,0.0,33,4.416751644204169,3.289705406331635e+20,0.709369626591479
20.0,0.6,20.0,0.0,0.0,10,1.8830679687599856,3.3370437160569556e+20,0.09362981396767381
28.0,0.42857142857142855,28.0,0.0,0.0,30,4.275773756197729,4.069224802859128e+20,0.7732650321890954
5.0,0.6,5.0,0.0,0.0,8,6.284456931349541,2.1425187137090883e+20,0.14837952372168528
22.0,0.5454545454545454,22.0,0.0,0.0,14,9.502912588158237,6.535195052219602e+19,0.12895486090494923
24.0,0.5,24.0,0.0,0.0,11,9.235686141447035,3.192255660228775e+20,0.47997788975920863
35.0,0.37142857142857144,35.0,0.0,0.0,58,5.405652974208634,1.5341864045113023e+20,0.726840769211847
29.0,0.41379310344827586,29.0,0.0,0.0,44,6.020584296110661,1.240036948709904e+20,0.4871605856090716
24.0,0.5416666666666666,24.0,0.0,0.0,43,7.559920422458268,9.482619582809675e+19,0.4613591030620229
30.0,0.4,30.0,0.0,0.0,43,8.800486604834202,4.635485228266657e+20,2.604934435908673
31.0,0.41935483870967744,31.0,0.0,0.0,53,6.859407311812202,2.5418536828665188e+20,1.3863545436679645
19.0,0.5263157894736842,19.0,0.0,0.0,41,9.713207006891153,2.664487046465985e+20,1.541819713914241
39.0,0.3076923076923077,39.0,0.0,0.0,22,4.342957437532615,2.3470644042752908e+20,0.33986875826887286
13.0,0.6923076923076923,13.0,0.0,0.0,24,3.6990501921763004,1.6806019518013224e+20,0.21998266000764824
14.0,0.6428571428571429,14.0,0.0,0.0,33,9.18008421876489,3.1624494305750876e+20,1.4007931261431918
9.0,0.7777777777777778,9.0,0.0,0.0,4,6.416707557984676,2.0470571192922138e+20,0.07768839772231864
28.0,0.42857142857142855,28.0,0.0,0.0,34,9.069211854640571,4.801372042751985e+20,2.193282330067814
37.0,0.3783783783783784,37.0,0.0,0.0,54,4.710062323110977,2.6946191583320015e+20,1.0478112770351344
24.0,0.5,24.0,0.0,0.0,19,5.773744210096934,4.733047331662016e+20,0.7684466181196286
23.0,0.43478260869565216,23.0,0.0,0.0,38,5.341834643108689,2.8268376599853718e+20,0.829979250059999
10.0,0.8,10.0,0.0,0.0,27,8.10254454178221,6.717029393891627e+19,0.21968663299948415
27.0,0.48148148148148145,27.0,0.0,0.0,47,2.8617093383448475,2.5279682697321628e+20,0.5083503032215715
23.0,0.5217391304347826,23.0,0.0,0.0,12,8.004889517267879,4.9727988694717006e+20,0.7075382301090759
22.0,0.5,22.0,0.0,0.0,50,3.9502238616041967,8.923533312194118e+19,0.2582059146589299
38.0,0.34210526315789475,38.0,0.0,0.0,13,9.22317028222737,3.829245881789541e+20,0.6987252356211947
36.0,0.3611111111111111,36.0,0.0,0.0,27,7.462902390170495,3.164893444933511e+20,0.9657928030539672
25.0,0.52,25.0,0.0,0.0,24,6.523069100500256,3.658477946365573e+20,0.8565447936045062
16.0,0.5625,16.0,0.0,0.0,28,5.938187542459992,4.962469164872788e+20,1.192278216371934
35.0,0.37142857142857144,35.0,0.0,0.0,7,3.4176821909035295,3.9414716692004025e+20,0.14248630312121646
38.0,0.3684210526315789,38.0,0.0,0.0,49,8.220722932240768,1.1106644524982605e+20,0.6855705556187393
11.0,0.6363636363636364,11.0,0.0,0.0,7,3.331475529612428,4.635874244500805e+20,0.1553591439297452
10.0,0.7,10.0,0.0,0.0,40,7.367610253002117,2.0605051591093633e+20,0.8835341381111619
26.0,0.46153846153846156,26.0,0.0,0.0,27,2.282487670403076,1.9260724822256075e+20,0.1756279650243882
36.0,0.3611111111111111,36.0,0.0,0.0,25,3.9694799347037852,1.639290981251501e+20,0.24636727254969737
35.0,0.34285714285714286,35.0,0.0,0.0,37,3.7187081241937205,2.0987935334241908e+20,0.4330632964235206
33.0,0.3939393939393939,33.0,0.0,0.0,26,7.862466200671314,2.316018899448355e+20,0.7125783104392893
26.0,0.5,26.0,0.0,0.0,42,2.1795328616288536,2.2577840602479863e+20,0.30898422483136306
18.0,0.5555555555555556,18.0,0.0,0.0,44,2.571336159024881,4.1599164334109295e+20,0.685838601928572
14.0,0.42857142857142855,14.0,0.0,0.0,43,7.545228861344682,1.1435309665036462e+19,0.05106725118177278
36.0,0.3611111111111111,36.0,0.0,0.0,26,7.805117128730448,2.659749456351181e+20,0.8174229897132321
21.0,0.5238095238095238,21.0,0.0,0.0,56,8.022752809313431,6.124323475820964e+19,0.4036516406188041
11.0,0.5454545454545454,11.0,0.0,0.0,39,9.443790630101901,3.1454958115880665e+20,1.622704945132391
30.0,0.43333333333333335,30.0,0.0,0.0,59,5.857166500021211,4.816353799784524e+20,2.4938274707228243
18.0,0.5,18.0,0.0,0.0,27,8.741947787240772,4.7718971115869815e+19,0.16162738432016868
33.0,0.3333333333333333,33.0,0.0,0.0,45,8.234624997805895,3.111105278265839e+20,1.7071718051098057
31.0,0.3548387096774194,31.0,0.0,0.0,39,4.545302453088648,4.7503479921398756e+20,1.2415911089984575
7.0,0.8571428571428571,7.0,0.0,0.0,8,1.198489441248415,1.8341621982165487e+20,0.0262970400161505
9.0,0.7777777777777778,9.0,0.0,0.0,35,8.528637384579437,2.2970953761437005e+20,1.0138662985248874
35.0,0.37142857142857144,35.0,0.0,0.0,51,5.269954151133121,1.4420344113390038e+20,0.5856493033716178
20.0,0.5,20.0,0.0,0.0,7,1.097142459410188,3.691003965367377e+20,0.041103005257797594
27.0,0.48148148148148145,27.0,0.0,0.0,22,3.790258583449746,9.854947768716938e+19,0.12286096932014431
14.0,0.7142857142857143,14.0,0.0,0.0,46,2.596508007818238,9.981321202429105e+19,0.17771739675066586
33.0,0.3939393939393939,33.0,0.0,0.0,12,3.9151646321513467,2.2494453421491823e+19,0.015906150246758583
7.0,0.7142857142857143,7.0,0.0,0.0,15,9.179209672327273,2.0796938783856037e+20,0.41183149929779284
10.0,0.9,10.0,0.0,0.0,15,4.810957107204592,2.3560929262749214e+20,0.2609898027548488
12.0,0.5833333333333334,12.0,0.0,0.0,19,8.837076694607875,4.2134635679011557e+20,1.006950422582901
38.0,0.3684210526315789,38.0,0.0,0.0,34,9.87540634588362,2.312041394965795e+20,1.1895773615689038
23.0,0.5217391304347826,23.0,0.0,0.0,32,8.54850154446809,1.4852683661494603e+20,0.6018071354775574
8.0,1.0,8.0,0.0,0.0,47,6.035998880821142,4.052314884809401e+20,1.7933901977844637
37.0,0.32432432432432434,37.0,0.0,0.0,25,3.479913072481696,3.03539221391885e+19,0.039801796219269055
24.0,0.5416666666666666,24.0,0.0,0.0,16,5.412859100673142,2.36752651086074e+19,0.030687862676045178
26.0,0.38461538461538464,26.0,0.0,0.0,8,2.9835388149747395,1.2619944950308833e+19,0.004364167511786962
14.0,0.7142857142857143,14.0,0.0,0.0,20,9.912891441355095,2.8316014740629465e+20,0.8368678597523206
7.0,0.7142857142857143,7.0,0.0,0.0,43,7.1311328872618835,2.603118929370573e+20,1.1480071518804205
33.0,0.3939393939393939,33.0,0.0,0.0,6,1.7979801829615742,3.0830194335057744e+19,0.005005768648144267
